Anio,Ciudad,TemperaturaPromedio
2013,"Kuwait",80.21
2004,"Vientiane",80.21
1996,"Manama",80.18
2012,"Calcutta",80.18
2005,"Karachi",80.15
2002,"Lagos",80.15
2019,"Dar Es Salaam",80.15
2011,"Lagos",80.14
2010,"Libreville",80.14
2005,"Banjul",80.12
2003,"Lagos",80.04
2017,"Karachi",80.02
2005,"Kuwait",80.01
2013,"Lagos",80.01
2002,"Calcutta",79.98
2015,"Libreville",79.97
2006,"Calcutta",79.96
2001,"Abidjan",79.95
2008,"Libreville",79.92
2009,"Libreville",79.92
2010,"Banjul",79.91
2011,"Vientiane",79.91
2010,"Bangui",79.90
2000,"Abidjan",79.89
2013,"Karachi",79.87
2003,"Libreville",79.86
2017,"Calcutta",79.86
2008,"Karachi",79.86
2012,"Abidjan",79.85
2004,"Libreville",79.84
2012,"Lagos",79.83
2014,"Calcutta",79.83
2003,"Calcutta",79.83
2001,"Banjul",79.83
2017,"Dar Es Salaam",79.82
1998,"Banjul",79.81
1999,"Libreville",79.80
2014,"Libreville",79.78
2011,"Kuwait",79.77
1997,"Banjul",79.76
2014,"Karachi",79.75
1998,"Calcutta",79.75
1999,"Calcutta",79.75
2002,"Libreville",79.73
2008,"Lagos",79.73
2006,"Libreville",79.67
2003,"Banjul",79.67
2008,"Abidjan",79.65
2005,"Libreville",79.63
2013,"Libreville",79.62
2013,"Dar Es Salaam",79.62
2014,"Dar Es Salaam",79.61
2018,"Calcutta",79.60
1995,"Libreville",79.57
2007,"Banjul",79.56
2000,"Calcutta",79.54
2005,"Dar Es Salaam",79.54
2018,"Dar Es Salaam",79.54
2009,"Dar Es Salaam",79.53
2011,"Karachi",79.48
2019,"Bangui",79.48
2007,"Dar Es Salaam",79.44
2004,"Banjul",79.43
1997,"Nouakchott",79.43
2011,"Calcutta",79.42
2020,"Banjul",79.42
1995,"Karachi",79.40
2003,"Dar Es Salaam",79.39
2013,"Calcutta",79.39
2011,"Dar Es Salaam",79.37
2017,"Bangui",79.36
2007,"Calcutta",79.36
2006,"Dhaka",79.36
1995,"Dhaka",79.35
2011,"Libreville",79.35
1995,"Bujumbura",79.33
2012,"Dar Es Salaam",79.32
2017,"Banjul",79.31
1995,"Calcutta",79.30
2001,"Libreville",79.29
2016,"Bangui",79.29
1998,"Dhaka",79.29
1995,"Manama",79.28
1998,"Brazzaville",79.27
1997,"Karachi",79.26
2000,"Libreville",79.26
1996,"Calcutta",79.25
2011,"Bangui",79.24
2008,"Calcutta",79.22
1998,"Bangui",79.21
1996,"Bujumbura",79.21
2009,"Bangui",79.19
1996,"Karachi",79.16
2019,"Calcutta",79.14
2006,"Dar Es Salaam",79.14
1997,"Kuwait",79.12
2007,"Bangui",79.12
2005,"Calcutta",79.11
2012,"Bangui",79.10
2000,"Dhaka",79.10
2015,"Bangui",79.08
1998,"Dar Es Salaam",79.08
2012,"Karachi",79.07
2002,"Banjul",79.05
1995,"Kuwait",79.05
2009,"Dhaka",79.02
2012,"Banjul",79.00
2008,"Vientiane",78.99
2006,"Banjul",78.96
1998,"Nouakchott",78.96
2001,"Dhaka",78.96
2010,"Nouakchott",78.93
2004,"Dhaka",78.91
2013,"Banjul",78.91
2001,"Calcutta",78.90
2000,"Banjul",78.89
2017,"Delhi",78.88
2011,"Abidjan",78.87
2010,"Brazzaville",78.85
2016,"Banjul",78.85
1997,"Bangui",78.83
2003,"Dhaka",78.82
2015,"Nouakchott",78.81
1997,"Manama",78.80
2014,"Banjul",78.80
2008,"Dar Es Salaam",78.77
2019,"Banjul",78.77
2014,"Bangui",78.77
1996,"Dhaka",78.77
2013,"Bangui",78.77
2011,"Banjul",78.74
1997,"Calcutta",78.73
2016,"Brazzaville",78.70
2006,"Abidjan",78.70
2001,"Nouakchott",78.70
2008,"Nouakchott",78.68
2008,"Bangui",78.68
1996,"Libreville",78.66
2011,"Maputo",78.65
2009,"Abidjan",78.65
2002,"Dhaka",78.62
2000,"Dar Es Salaam",78.60
2019,"Brazzaville",78.60
2013,"Nouakchott",78.58
1999,"Bangui",78.56
2005,"Nouakchott",78.54
2014,"Brazzaville",78.54
2005,"Bangui",78.54
2018,"Brazzaville",78.53
1997,"Brazzaville",78.52
2006,"Bangui",78.52
1999,"Banjul",78.52
2018,"Bangui",78.48
1997,"Bujumbura",78.43
2004,"Dar Es Salaam",78.43
2016,"Nouakchott",78.41
2003,"Brazzaville",78.39
2015,"Banjul",78.38
1997,"Dar Es Salaam",78.38
2005,"Brazzaville",78.38
1995,"Bangui",78.36
2002,"Brazzaville",78.35
1999,"Brazzaville",78.34
2000,"Bangui",78.34
2012,"Libreville",78.33
2004,"Brazzaville",78.33
